_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Chester Village - 1W & 4W,3555 Danforth Ave,LTCH,Respiratory,COVID-19,None,2023-12-31,2024-02-03,N
2,Belmont House - 2 East,55 Belmont St,LTCH,Respiratory,COVID-19,None,2023-12-30,2024-01-10,N
3,The Jewish Home for the Aged -  2nd Fl (2RF),3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-12-30,2024-01-06,N
4,The Village of Humber Heights - 3E (Islington),2245 Lawrence Ave W,LTCH,Respiratory,Parainfluenza,None,2023-12-30,2024-01-16,N
5,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-30,2024-01-06,N
6,Chartwell Grenadier Retirement Residence - 2nd Fl (Building D),2100 Bloor St W,Retirement Home,Respiratory,COVID-19,None,2023-12-29,2024-01-14,N
7,Delmanor Wynford - 4th Fl,187 Wynford Dr,Retirement Home,Respiratory,Respiratory syncytial virus,None,2023-12-29,2024-01-06,N
8,Midland Gardens - 4th & 5th Fl,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,None,2023-12-29,2024-01-26,N
9,Mon Sheong Scarborough LTC Centre - 3rd South,2030 McNicoll Ave,LTCH,Respiratory,Respiratory syncytial virus,None,2023-12-29,2024-01-17,N
10,Shepherd Lodge - 4th Fl South,3760 Shepherd Ave E,LTCH,Respiratory,Respiratory syncytial virus,None,2023-12-29,2024-01-17,N
11,Unity Health Toronto - Houses of Providence - HOP 1W (Maple & Balsam),76 St. Clair Ave E,LTCH,Respiratory,Coronavirus*,Influenza A (Not subtyped),2023-12-29,2024-01-12,N
12,Valleyview Residence - 4E,541 Finch Ave W,LTCH,Respiratory,Metapneumovirus,None,2023-12-29,2024-01-16,N
13,Cedarhurst Dementia Care Home - 1 West & 2 East,2601 Bayview Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-28,2024-01-18,N
14,Deerwood Creek Care Community - 1A,70 Humberline Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-28,2024-01-12,N
15,Extendicare Scarborough - 2nd Fl,3830 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,None,2023-12-28,2024-01-22,N
16,Harold and Grace Baker - Main Fl,1 Northwestern Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-28,2024-01-08,N
17,Ina Grafton Gage Home - Unit 2,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,None,2023-12-28,2024-01-05,N
18,North York General Hospital - Branson Site - RCC 3,555 Finch Ave West,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-28,2024-01-08,N
19,"Presentation Manor For Seniors - 1st, 2nd, 3rd & 4th Fl",61 Fairfax Cres,Retirement Home,Respiratory,COVID-19,None,2023-12-28,2024-02-15,N
20,Tony Stacey Centre for Veterans' Care - 1 East & 1 North,59 Lawson Rd,LTCH,Respiratory,COVID-19,None,2023-12-28,2024-01-18,N
21,Bendale Acres - 2 East Unit,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2023-12-27,2024-01-22,N
22,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Enteric,Norovirus,None,2023-12-27,2024-01-22,N
23,Fudger House - 1st Fl West,439 Sherbourne St,LTCH,Respiratory,Coronavirus*,None,2023-12-27,2023-12-29,N
24,Hazelton Place Retirement Residence - 3rd & 8th Fl,111 Ave Rd,Retirement Home,Respiratory,COVID-19,None,2023-12-27,2024-01-08,N
25,Midland Gardens Care Community - 4th & 5th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,None,2023-12-27,2024-01-08,N
26,Tapestry at Village Gate West - 6th & 8th Fl,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,None,2023-12-27,2024-01-09,N
27,TEHN - Atrium At Kew Beach - 3rd Fl (MGH Associated Unit),500 Kingston Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),Enterovirus/ Rhinovirus,2023-12-27,2024-01-05,N
28,Terraces of Baycrest - 11th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-27,2024-01-08,N
29,"The Kensington Gardens - 2E, 3W & 4E",25 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2023-12-27,2024-01-15,N
30,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-27,2024-01-13,N
31,University Health Network - Bickle Centre - 3 North,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-27,2024-01-06,N
32,Wesburn Manor - 3 North & 4 South,400 The West Mall,LTCH,Respiratory,Metapneumovirus,None,2023-12-27,2024-01-15,N
33,Centre For Addiction and Mental Health - Unit 1-3 (LGUB),1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,None,2023-12-26,2024-01-08,N
34,Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Enteric,Unable to identify,None,2023-12-26,2024-01-03,N
35,"Extendicare Rouge Valley - 1st Fl Clark, 1st Fl BSU, 3 Fl Morrish & 3rd Fl - Meadowvale",551 Conlins Rd,LTCH,Respiratory,COVID-19,None,2023-12-26,2024-01-19,N
36,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,LTCH,Respiratory,COVID-19,None,2023-12-26,2024-01-17,N
37,The Teddington,4 Teddington Park Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-26,2024-01-08,N
38,Baycrest Apotex Centre - Jewish Home For The Aged - 7RF,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-25,2024-01-03,N
39,Baycrest Hospital - H4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-25,2024-01-07,N
40,Fairview Nursing Home - 3rd Fl,14 Cross St,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-25,2024-01-11,N
41,Harold and Grace Baker Centre - 3rd Fl,1 Northwestern Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-25,2024-01-02,N
42,Hawthorne Place - 1st Fl (Convalescent Unit),2045 Finch Ave W,LTCH,Enteric,Unable to identify,None,2023-12-25,2023-12-31,N
43,The Salvation Army - Toronto Grace Health Centre - Specialized Care Centre - 5th Fl,1020 McNicoll Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-25,2024-01-05,N
44,"Kensington Place Retirement Residence - 3rd, 5th & 6th Fl",866 Sheppard Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-24,2024-01-22,N
45,Southlake Regional Health Centre - RCU - Southlake Unit,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-24,2024-01-08,N
46,Terraces of Baycrest - 10th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-24,2023-12-30,N
47,Terraces of Baycrest - 1st Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-24,2023-12-31,N
48,Terraces of Baycrest - 9th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-24,2024-01-01,N
