_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
49,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,None,2023-12-24,2024-01-01,N
50,William Osler Health System - RCU - WOHS Unit,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-24,2023-12-31,N
51,Unity Health Toronto - Providence Healthcare Centre - B4,3276 St. Clair Ave,Hospital-Chronic Care,Enteric,Norovirus,None,2023-12-23,2024-01-01,N
52,Villa Colombo Homes for the Aged - 4th Fl,40 Playfair Ave,LTCH,Respiratory,COVID-19,None,2023-12-23,2024-01-04,N
53,Bill McMurray Residence,180 Sheridan Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2023-12-22,2024-01-15,N
54,Craiglee Nursing Home - 1W & 3W,102 Craiglee Dr,LTCH,Respiratory,COVID-19,None,2023-12-22,2024-01-12,N
55,Lakeshore Lodge - 3rd Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,Respiratory syncytial virus,None,2023-12-22,2024-01-06,N
56,Parkland On Eglinton West - 5th & 9th Fl,4650 Eglinton Ave West,Retirement Home,Respiratory,COVID-19,None,2023-12-22,2024-01-05,N
57,Runnymede Healthcare Centre - 2 East,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-22,2024-01-04,N
58,Trillium Health Partners - McCall Continuing Care - 4th Fl (CCC),140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-22,2024-01-02,N
59,Yee Hong Centre - Scarborough Finch - 5th Fl (South Side),60 Scottfield Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-22,2024-01-02,N
60,Cheltenham Care Community - 3rd Fl (Rose Garden),5935 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-12-21,2024-01-17,N
61,Elm Grove Living Center,35 Elm Grove Ave,LTCH,Respiratory,Unable to identify,None,2023-12-21,2024-01-03,N
62,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2023-12-21,2024-01-03,N
63,Trilliam Health Partners - Moir Family Centre CCC - Moir CC Unit,150 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2023-12-21,2023-12-29,N
64,Wesburn Manor - 2 North,400 The West Mall,LTCH,Respiratory,COVID-19,None,2023-12-21,2024-01-15,N
65,Centre For Addiction and Mental Health - Unit 1-2 (FGUA),1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,None,2023-12-20,2023-12-28,N
66,Humber Valley Terrace - 2nd Fl,95 Humber College Blvd,LTCH,Respiratory,COVID-19,None,2023-12-20,2023-12-30,N
67,Terraces of Baycrest - 8th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-20,2023-12-27,N
68,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-20,2023-12-29,N
69,"Amica Bayview Village - 5th, 7th & 8th Fl",15 Barberry Pl,Retirement Home,Respiratory,COVID-19,None,2023-12-19,2024-01-24,N
70,Hillcrest Reactivation Centre - 3rd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-19,2024-01-02,N
71,Lakeshore Lodge - 3rd & 4th Fl,3197 Lakeshore Blvd,LTCH,Respiratory,COVID-19,None,2023-12-19,2024-01-10,N
72,Main Street Terrace,77 Main St,LTCH,Respiratory,COVID-19,None,2023-12-19,2024-01-19,N
73,North Park Nursing Home - 1st Fl,450 Rustic Rd,LTCH,Respiratory,COVID-19,None,2023-12-19,2023-12-28,N
74,Shepherd Lodge - 6 North & 6 South,3760 Sheppard Ave East,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-19,2024-01-08,N
75,The Jewish Home for the Aged - 4EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-12-19,2023-12-25,N
76,Unity Health Toronto - Providence - A4,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-19,2023-12-27,N
77,Chartwell Trilogy Long Term Care Residence - 6 & 7 Th Fl,340 McCowan Rd,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-18,2023-12-28,N
78,Deerwood Creek Care Community - 3rd Fl (3B),70 Humberline Dr,LTCH,Respiratory,COVID-19,None,2023-12-18,2024-01-12,N
79,Extendicare Bayview - West Unit,550 Cummer Ave,LTCH,Respiratory,COVID-19,None,2023-12-18,2024-01-02,N
80,Extendicare Rouge Valley - Toronto - 2nd Fl (Cedar Ridge House),551 Conlins Rd,LTCH,Respiratory,COVID-19,None,2023-12-18,2023-12-25,N
81,"Fountain View Care Community - 2A, 2B & 3B",1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2023-12-18,2024-01-30,N
82,"Fudger House - 2 East, 3 East & 3 West",439 Sherbourne St,LTCH,Respiratory,COVID-19,None,2023-12-18,2024-01-11,N
83,North York General Hospital - 7N,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-18,2023-12-31,N
84,Retirement Suites by the Lake - Toronto - Facility Wide,2121 Kingston Rd,Retirement Home,Respiratory,COVID-19,None,2023-12-18,2024-01-08,N
85,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,COVID-19,None,2023-12-18,2024-01-15,N
86,The Jewish Home for the Aged - 5GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-12-18,2024-01-07,N
87,The Russell Hill Retirement Residence,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,None,2023-12-18,2023-12-25,N
88,Toronto East Health Network - Michael Garron Hospital - A2,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-18,2023-12-26,N
89,Unity Health Toronto - Houses of Providence - HOP 2W (Elm & Pine),3276 St Clair Ave E,LTCH,Respiratory,COVID-19,None,2023-12-18,2023-12-27,N
90,Unity Health Toronto - RCC Church - 4B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-18,2023-12-26,N
91,Unity Health Toronto - St. Michael's - 9CCN,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-18,2024-01-02,N
92,"Chartwell Gibson Retirement Residence - Toronto - 3rd, 4th& 5th Fl",1955 Steeles Ave E,Retirement Home,Respiratory,COVID-19,None,2023-12-17,2023-12-29,N
93,Nisbet Lodge - 3rd Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,None,2023-12-17,2023-12-28,N
94,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2023-12-17,2023-12-25,N
95,Terraces of Baycrest - 2nd Fl,55 Ameer Ave,Retirement Home,Enteric,Unable to identify,None,2023-12-17,2023-12-24,N
96,Trillium Health Partners - McCall Continuing Care - 2nd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-17,2023-12-27,N
97,True Davidson Acres - 4th Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,None,2023-12-17,2024-01-30,N
98,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Respiratory,COVID-19,None,2023-12-16,2023-12-29,N
99,Hellenic Care for Seniors - Ground & 1st Fl,215 Tyrrel Ave,LTCH,Respiratory,COVID-19,None,2023-12-16,2024-01-08,N
100,Isabel and Arthur Meighen Manor - 3 East Lawrence Unit & 4E Dinnick Unit,155 Millwood Rd,LTCH,Respiratory,COVID-19,None,2023-12-16,2023-12-28,N
101,The Jewish Home for the Aged - 3GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-12-16,2023-12-22,N
102,North York General Hospital - General Site - 4W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-15,2024-01-04,N
103,North York General Hospital - General Site - 7W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-15,2024-01-02,N
104,Sunnybrook Health Sciences Centre - F2PICU,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-15,2024-01-02,N
105,Trillium Health Partners - RCC Church - Unit 3B,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-15,2023-12-26,N
106,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,COVID-19,None,2023-12-14,2024-01-25,N
107,Harmony Hills Care Community - 2nd Fl (2B Wing),1800 O'Connor Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-14,2023-12-29,N
108,Pine Villa - Transitional Care - 2nd Fl (Sprint),1035 Eglinton Ave W,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2023-12-14,2023-12-27,N
109,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,None,2023-12-14,2023-12-25,N
110,Centre For Addiction and Mental Health - CCC6,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,None,2023-12-13,2023-12-20,N
111,Midland Gardens Care Community - 3rd Fl,130 Midland Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-13,2023-12-29,N
112,The Jewish Home for the Aged - 4GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-12-13,2023-12-26,N
113,The Kensington Gardens (North) - 1 East,25 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2023-12-13,2024-01-17,N
114,Unity Health Toronto - Houses of Providence - 2E Chestnut & Balsam,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,None,2023-12-13,2023-12-26,N
115,Unity Health Toronto - St. Joseph's - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-13,2023-12-30,N
116,Altamont Care Community - Wing 3,92 Island Rd,LTCH,Respiratory,COVID-19,None,2023-12-12,2023-12-23,N
117,Cedarbrook Lodge TCU - 6th Fl,520 Markham Rd,LTCH,Respiratory,COVID-19,None,2023-12-12,2023-12-22,N
118,Downsview Long Term Care Centre - 1 East,3595 Keele St,LTCH,Respiratory,COVID-19,None,2023-12-12,2023-12-20,N
119,Humber Meadows Long Term Care Home - 3S,2109 Finch Ave W,LTCH,Respiratory,COVID-19,None,2023-12-12,2023-12-30,N
120,Sinai Health System - Mount Sinai - 11S,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-12,2023-12-20,N
121,The Jewish Home for the Aged - 2EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2023-12-12,2023-12-20,N
122,Unity Health Toronto - St. Josep's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Enteric,Unable to identify,None,2023-12-12,2023-12-23,N
123,Wesburn Manor - 2 South,400 The West Mall,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-12,2023-12-21,N
124,West Park  Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-12,2023-12-22,N
125,West Park Long Term Care Centre - Humber & York,82 Buttonwood Ave,LTCH,Respiratory,COVID-19,None,2023-12-12,2023-12-20,N
126,Hillcrest Reactivation Centre - 2nd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-11,2023-12-27,N
127,Humber River Hospital - RCC Finch - 6 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-11,2023-12-25,N
128,Ina Grafton Gage Home - 4th Fl,40 Bell Estate Rd,LTCH,Respiratory,Respiratory syncytial virus,None,2023-12-11,2023-12-25,N
129,Labdara Lithuanian Nursing Home - 2nd & 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,COVID-19,None,2023-12-11,2024-01-14,N
130,North York General Hospital - General Site - 5W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-11,2023-12-27,N
131,Scarlet Heights Retirement Residence - 2nd Fl (Memory Living Unit),4005 Eglinton Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2023-12-11,2023-12-19,N
132,Westside - Etobicoke - 2nd Fl (East Wing),1145 Albion Rd,LTCH,Respiratory,COVID-19,None,2023-12-11,2024-01-02,N
133,Copernicus Lodge - 4th Fl,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,None,2023-12-10,2023-12-16,N
134,Wesburn Manor - 4th Fl,400 The West Mall,LTCH,Respiratory,COVID-19,None,2023-12-10,2023-12-21,N
135,Mon Sheong Scarborough Long Term Care Centre - 3rd Fl South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2023-12-09,2023-12-18,N
136,Norfinch Care Community - 3B,22 Norfinch Dr,LTCH,Respiratory,COVID-19,None,2023-12-09,2023-12-22,N
137,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-09,2023-12-19,N
138,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,None,2023-12-08,2023-12-13,N
139,Kipling Acres - 2nd & 3rd South,2233 Kipling Ave,LTCH,Respiratory,COVID-19,None,2023-12-08,2024-01-13,N
140,New Horizons Tower,1140 Bloor St W,Retirement Home,Respiratory,Respiratory syncytial virus,Influenza A (Not subtyped),2023-12-08,2024-01-01,N
141,West Park Long Term Care Centre - Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,COVID-19,None,2023-12-08,2023-12-29,N
142,Oak Valley Health - 5 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-07,2023-12-20,N
143,One Kenton Place - 1st Fl,1 Kenton Dr,Retirement Home,Respiratory,Influenza A (H3),None,2023-12-07,2023-12-13,N
144,Runnymede Healthcare Centre - 2W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-07,2023-12-14,N
145,West Park Healthcare Centre - 2EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-07,2023-12-16,N
146,Weston Terrace Care Community - 2B,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,None,2023-12-07,2023-12-14,N
147,Baycrest Apotex Centre - Jewish Home For The Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-12-06,2023-12-15,N
148,Bethseda Home,76 Silversted Dr,Retirement Home,Respiratory,COVID-19,None,2023-12-06,2023-12-18,N
149,Don Mills Retirement Residence,2 Green Belt Dr,Retirement Home,Respiratory,COVID-19,None,2023-12-06,2023-12-19,N
150,Humber Valley Terrace - Etobicoke - 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,COVID-19,None,2023-12-06,2023-12-12,N
151,Tapestry at Village Gate West - 4th Fl,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,None,2023-12-06,2023-12-18,N
152,University Health Network - Bickle Centre - North 5B,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-06,2023-12-14,N
153,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-06,2023-12-16,N
154,Valleyview Residence - 2W,541 Finch Ave E,LTCH,Respiratory,Unable to identify,None,2023-12-06,2023-12-23,N
155,Wellesley Central Place - 3W,160 Wellesley St E,LTCH,Respiratory,COVID-19,None,2023-12-06,2023-12-18,N
156,Weston Terrace Care Community - 4th Fl,2005 Lawrence Ave W,LTCH,Respiratory,Unable to identify,None,2023-12-06,2023-12-19,N
157,Advent Forestview Retirement Residence - 4th Fl,537 Finch Ave,Retirement Home,Respiratory,COVID-19,None,2023-12-05,2023-12-18,N
158,Bendale Acres - Scarborough - 4th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2023-12-05,2023-12-21,N
159,Delmanor Prince Edward - Etobicoke - 3rd & 7th Fl,4180 Dundas St W,Retirement Home,Respiratory,COVID-19,None,2023-12-05,2023-12-28,N
160,Fountain View Care Community - 1st Fl,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,None,2023-12-05,2023-12-14,N
161,Sinai Health System - Hennick Bridgepoint - 3S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-05,2023-12-12,N
162,Unity Health Toronto - St. Michael's - 8CS,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-05,2023-12-12,N
163,West Park Long Term Care Centre - Kingway/Ilaali,82 Buttonwood Ave,LTCH,Respiratory,COVID-19,None,2023-12-05,2023-12-28,N
164,Amica On the Avenue,1066 Ave Rd,Retirement Home,Respiratory,COVID-19,None,2023-12-04,2023-12-18,N
165,Carefree Lodge - North York - Basement (Garden),306 Finch Ave E,LTCH,Respiratory,COVID-19,None,2023-12-04,2023-12-25,N
166,Centre For Addiction and Mental Health - CCC3,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,None,2023-12-04,2023-12-12,N
167,Sinai Health System - Mount Sinai - 12S,600 University Ave,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-04,2023-12-16,N
168,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),None,2023-12-04,2023-12-15,N
169,The Claremont,305 Balliol St,Retirement Home,Respiratory,COVID-19,None,2023-12-04,2023-12-13,N
170,University Health Network - Toronto Western - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-04,2023-12-10,N
171,North York General Hospital - 8 West,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-12-03,2023-12-12,N
172,"Chartwell Gibson -2nd, 3rd & 4th Fl",1955 Steeles Ave E,Retirement Home,Respiratory,Respiratory syncytial virus,None,2023-12-01,2023-12-13,N
173,Isabel and Arthur Meighen Manor - 3rd Fl,155 Millwood Rd,LTCH,Respiratory,COVID-19,None,2023-12-01,2023-12-12,N
174,West Park  Healthcare Centre - 3EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-12-01,2023-12-16,N
175,Better Living at Thompson House - 4th Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,Respiratory syncytial virus,2023-11-30,2023-12-08,N
176,The Wexford - 4th & 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,None,2023-11-30,2023-12-14,N
177,Sinai Health System - Hennick Bridgepoint - 4 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-11-29,2023-12-15,N
178,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-11-29,2023-12-14,N
179,University Health Network - Toronto General - 8th Fl (ES),200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-11-29,2023-12-10,N
180,Hazelton Place Retirement Residence - 5th Fl,111 Ave Rd,Retirement Home,Respiratory,COVID-19,None,2023-11-28,2023-12-12,N
181,Leaside Retirement Residence,10 -14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,None,2023-11-28,2024-01-09,N
182,Mackenzie Health - RCC - 4 East & 4 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-11-27,2023-12-02,N
183,Mon Sheong Home for the Aged - 4th Fl,36 D'Arcy St,LTCH,Respiratory,Unable to identify,None,2023-11-27,2023-12-18,N
184,Runnymede Healthcare Centre - 2 East,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-11-27,2023-12-05,N
185,Sinai Health System - Hennick Bridgepoint - 3 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-11-27,2023-12-04,N
186,The Dunfield Retirement Residence - 4th Fl (Memory Care Unit),77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,None,2023-11-27,2023-12-04,N
187,The Kensington Gardens - 3 East,25 Brunswick Ave,LTCH,Respiratory,COVID-19,None,2023-11-27,2023-12-08,N
188,Toronto East Health Network - AHF - 2E,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2023-11-27,2023-12-08,N
189,University Health Network - Toronto General - 5MB,200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,None,2023-11-27,2023-12-07,N
190,Baycrest Apotex Centre - Jewish Home for the Aged - 3GS,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2023-11-26,2023-12-05,N
191,St. George Care Community,225 St. George St,LTCH,Respiratory,COVID-19,None,2023-11-26,2023-12-27,N
