_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
207,The Briton House Retirement Residence,700 & 720 Mount Pleasant Rd,Retirement Home,Enteric,Unable to identify,,2018-03-13,2018-03-26,N
208,The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-03-13,2018-03-20,N
209,William Osler Health System - 10th Level,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2018-03-12,2018-03-16,N
210,Seven Oaks,9 Neilson Rd,LTCH,Respiratory,Influenza B,,2018-03-12,2018-03-29,N
211,Weston Gardens Retirement Residence - 3rd & 4th Fl,303 Queens Dr,Retirement Home,Enteric,Unable to identify,,2018-03-12,2018-03-21,N
212,Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-12,2018-03-21,N
213,Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-03-12,2018-03-19,N
214,McNicoll Manor - 5th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Influenza B,,2018-03-09,2018-03-13,N
215,Sunnybrook Health Sciences Centre - C6,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-03-09,2018-03-18,N
216,Shepherd Lodge - 3rd Fl,3760 Sheppard Ave E,LTCH,Respiratory,Influenza A (H3),,2018-03-09,2018-03-23,N
217,Extendicare Craiglee - 3rd Fl,102 Craiglee Dr,LTCH,Respiratory,Influenza A (H3),,2018-03-09,2018-03-19,N
218,Kipling Acres - Humber 1E & Pine Point 1W,2233 Kipling Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-08,2018-03-22,N
219,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Influenza B,,2018-03-08,2018-03-23,N
220,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Influenza A (H3N2),,2018-03-08,2018-03-20,N
221,Centre for Addiction and Mental Health - Unit 3-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (H3N2),,2018-03-07,2018-03-19,N
222,Sunnybrook Health Sciences Centre - C6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,,2018-03-07,2018-04-16,N
223,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-07,2018-03-26,N
224,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus-like,,2018-03-06,2018-03-16,N
225,North York Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Metapneumovirus,,2018-03-05,2018-03-18,N
226,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Influenza A (H3),Influenza B,2018-03-05,2018-03-21,N
227,Seaton House - 3rd & 4th Fl,339 George St,Shelter,Respiratory,Streptococcus pyogenes,,2018-03-05,2018-04-24,N
228,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza B,,2018-03-02,2018-03-20,N
229,Princess Margaret Hospital - 17B,610 University Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-03-02,2018-03-09,N
230,Villa Colombo - 2nd & 3rd Fusco,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-02,2018-03-20,N
231,The Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Influenza B,,2018-03-02,2018-03-19,N
232,St. Michael's Hospital - 7 CCV,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2018-03-01,2018-03-08,N
233,Kensington Gardens South - 1 East & 1 West,25 Brunswick Ave,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-03-01,2018-03-19,N
234,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Enteric,Norovirus-like,,2018-03-01,2018-03-13,N
235,Chartwell Trilogy Long Term Care Residence - 4th & 5th Fl,340 McCowan Rd,LTCH,Respiratory,Influenza B,,2018-02-28,2018-03-15,N
236,V Care Retirement Home,8 Bridlington St,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-02-28,2018-03-07,N
237,Providence Healthcare - Houses of Providence - 3rd Fl East -,3276 St Clair Ave E - & West,LTCH,Respiratory,Influenza A (H3),,2018-02-28,2018-03-09,N
238,Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,Influenza B,,2018-02-28,2018-03-12,N
239,Belmont House - 4th Fl,55 Belmont,LTCH,Respiratory,Influenza B,,2018-02-27,2018-03-05,N
240,Cummer Lodge - 4 South,205 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-27,2018-03-05,N
241,Runnymede Healthcare Centre - 4th Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-27,2018-03-11,N
242,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2018-02-27,2018-03-12,N
243,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (H3),,2018-02-27,2018-03-10,N
244,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-02-26,2018-03-14,N
245,The Westbury - 4th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,,2018-02-26,2018-03-08,N
246,Nisbet Lodge,740 Pape Ave,LTCH,Respiratory,Influenza B,,2018-02-24,2018-03-13,N
247,Sinai Health System - Mount Sinai Hospital -,600 University Ave - 12 South & EXAU,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-23,2018-03-02,N
248,New Horizons Tower,1140 Bloor St W,Retirement Home,Respiratory,Influenza B,Respiratory syncytial virus,2018-02-23,2018-03-17,N
249,The Hospital for Sick Children - 8A,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-23,2018-03-02,N
250,Chester Villiage - Diamond Unit,3555 Danforth Ave,LTCH,Respiratory,Influenza B,,2018-02-23,2018-03-04,N
251,Providence Healthcare - Houses of Providence - 1 West,3276 St Clair Ave E,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-02-22,2018-03-03,N
252,Holland Bloorview Kids Rehabilitation Hospital - 3 East CCC,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-02-21,2018-02-27,N
253,Yee Hong Centre for Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 6th Fl,LTCH,Respiratory,Influenza B,,2018-02-21,2018-03-02,N
254,West Park Healthcare Centre - ABI,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-02-21,2018-02-27,N
255,Hellenic Care for Seniors - Ground Fl,215 Tyrell Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-21,2018-03-01,N
256,Deerwood Creek Care Community - 2nd Fl,70 Humberline Dr,LTCH,Respiratory,Influenza A (H3),,2018-02-21,2018-03-09,N
257,Humber River Hospital - Reactivation Care Centre - F6E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-20,2018-02-25,N
258,Centre for Addiction and Mental Health - Queen St - Unit 2-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-02-20,2018-03-05,N
259,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Unable to identify,,2018-02-20,2018-02-26,N
260,Chartwell Avondale Retirement Residence,1238 Queen St E,Retirement Home,Enteric,Norovirus-like,,2018-02-19,2018-02-26,N
261,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Enteric,Norovirus-like,,2018-02-19,2018-02-27,N
262,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Influenza A (H3),,2018-02-19,2018-03-13,N
263,Tendercare Living Centre - 3 West,1020 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-02-19,2018-03-01,N
264,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-19,2018-03-05,N
265,Runnymede Healthcare Centre - 2nd Fl,625 Runnymede Rd,Hospital-Chronic Care,Enteric,Norovirus-like,,2018-02-18,2018-02-27,N
266,Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Influenza A (H3),,2018-02-18,2018-03-02,N
267,North York General Hospital - 5N,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-17,2018-02-25,N
268,North York General Hospital - 5W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-17,2018-02-23,N
269,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Influenza B,,2018-02-16,2018-03-07,N
270,Mount Sinai Hospital - 11 S,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-16,2018-02-20,N
271,Yee Hong Centre for Geriatric Care - McNicoll Site,2311 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-02-16,2018-03-02,N
272,Hellenic Home - Scarborough,2411 Lawrence Ave E,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-02-16,2018-03-01,N
273,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-16,2018-02-26,N
274,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-15,2018-02-26,N
275,St. George Care Community,225 St George St,LTCH,Respiratory,Influenza B,,2018-02-15,2018-02-25,N
276,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Enteric,Norovirus-like,,2018-02-15,2018-02-28,N
277,Amica at Bayview,15 Barberry Pl,Retirement Home,Respiratory,Influenza A (H3),Influenza B,2018-02-15,2018-03-03,N
278,The Scarborough and Rouge Hospital - General Site - CP1,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-15,2018-02-23,N
279,Downsview Long Term Care Centre - 2 East,3595 Keele St,LTCH,Respiratory,Influenza B,,2018-02-14,2018-02-26,N
280,University Health Network - Toronto Rehabilitation Institute,550 University Ave - University Centre - 6 South,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-14,2018-02-25,N
281,North York General Hospital - Reactivation Care Centre -,2111 Finch Ave W - 6 West,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-13,2018-02-23,N
282,True Davidson Acres - 1 West Unit,200 Dawes Rd,LTCH,Respiratory,Influenza B,,2018-02-13,2018-02-22,N
283,Centre for Addiction and Mental Health - College Site -,250 College St - EPU 10th Fl,Hospital-Psychiatric,Respiratory,Influenza B,,2018-02-13,2018-02-22,N
284,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Influenza B,,2018-02-12,2018-02-24,N
285,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2018-02-12,2018-02-27,N
286,Mon Sheong Scarborough Long Term Care Centre - 3rd Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-12,2018-03-06,N
