_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
359,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Influenza A (H3),,2018-01-20,2018-01-31,N
360,Sagecare,147 Elder St,Retirement Home,Respiratory,Influenza B,,2018-01-19,2018-01-29,N
361,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Influenza B,,2018-01-19,2018-02-04,N
362,Vermont Square - 6th Fl,914 Bathurst St,LTCH,Respiratory,Influenza A (H3N2),Respiratory syncytial virus,2018-01-19,2018-02-07,N
363,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-18,2018-02-13,N
364,Centre for Addiction and Mental Health - Unit 1-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2018-01-18,2018-01-29,N
365,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-17,2018-02-05,N
366,Carefree Lodge - 1st Fl,306 Finch Ave E,LTCH,Respiratory,Influenza B,,2018-01-17,2018-01-25,N
367,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-17,2018-01-30,N
368,West Park Healthcare Centre - 3EB,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),Influenza B,2018-01-17,2018-01-23,N
369,The Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-16,2018-01-24,N
370,Deerwood Creek Care Community - 2B & 3A,70 Humberline Dr,LTCH,Respiratory,Unable to identify,,2018-01-16,2018-02-12,N
371,Mackenzie Health - RCC 4E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-01-16,2018-01-25,N
372,McCall Centre for Continuing Care - Interim LTC Unit,140 Sherway Dr - 2nd & 4th Fl,LTCH,Respiratory,Influenza B,,2018-01-16,2018-01-31,N
373,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Influenza A (H3),,2018-01-16,2018-02-05,N
374,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Influenza A (H3N2),,2018-01-16,2018-01-29,N
375,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,,2018-01-16,2018-01-31,N
376,Providence Healthcare - A4 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2018-01-16,2018-01-27,N
377,Westside,1145 Albion Rd,LTCH,Enteric,Unable to identify,,2018-01-16,2018-02-07,N
378,"Fieldstone Commons - 1A, 3A & 4A",1000 Ellesmere Rd,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-15,2018-01-25,N
379,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-01-30,N
380,Providence Healthcare - Houses of Providence - HOP 4E Sumac,3276 St Clair Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-01-27,N
381,Cummer Lodge - Grd Fl,205 Cummer Ave,LTCH,Respiratory,Unable to identify,,2018-01-15,2018-01-25,N
382,Valleyview Residence,541 Finch Ave W,LTCH,Respiratory,Influenza B,,2018-01-15,2018-02-07,N
383,Bendale Acres Nursing Home,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-15,2018-02-02,N
384,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-01-15,2018-01-22,N
385,Scarborough and Rouge Hospital - Birchmount Site - 4A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-01-13,2018-01-23,N
386,Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,LTCH,Respiratory,Influenza A (H3),,2018-01-13,2018-01-28,N
387,Villa Colombo - 2 Fusco,40 Playfair Ave,LTCH,Enteric,Norovirus-like,,2018-01-13,2018-01-28,N
388,Kipling Acres,2233 Kipling Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-12,2018-02-16,N
389,Salvation Army Toronto Grace Health Centre - Rehab Unit -,650 Church St - 5th Fl,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-12,2018-01-20,N
390,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Influenza B,,2018-01-12,2018-01-20,N
391,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Metapneumovirus,,2018-01-11,2018-01-22,N
392,Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-11,2018-01-25,N
393,Village of Humber Heights Retirement Home - 2nd Fl - Egerton,2245 Lawrence Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-11,2018-01-29,N
394,St. Joseph's Healthcare Centre - 4M Medicine/Telemetry,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3N2),Respiratory syncytial virus,2018-01-11,2018-01-31,N
395,Villa Colombo,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-11,2018-01-23,N
396,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2018-01-11,2018-01-18,N
397,Lakeshore Lodge - 2 North,3197 Lake Shore Blvd W,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-10,2018-01-22,N
398,Scarborough and Rouge Hopsital - General Site - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Norovirus-like,,2018-01-10,2018-01-19,N
399,Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Norovirus-like,,2018-01-10,2018-01-25,N
400,Weston Terrace Care Community,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-01-09,2018-01-24,N
401,Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H3),"Influenza B,Respiratory syncytial virus",2018-01-09,2018-02-06,N
402,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza B,,2018-01-09,2018-01-22,N
403,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-09,2018-01-30,N
404,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Enteric,Norovirus-like,,2018-01-08,2018-01-16,N
405,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-08,2018-01-23,N
406,Rose of Sharon Long Term Care Home,17 Maplewood Ave,LTCH,Respiratory,Influenza B,,2018-01-08,2018-01-22,N
407,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-01-08,2018-01-23,N
408,Hellenic Home - Scarborough  - Unit 3B,2411 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2018-01-08,2018-02-05,N
409,McCowan Retirement Residence,2881 Eglinton Ave E,Retirement Home,Respiratory,Influenza B,,2018-01-08,2018-01-19,N
410,Copernicus Lodge Independent Living,66 Roncesvalles Ave,Retirement Home,Enteric,Unable to identify,,2018-01-08,2018-02-04,N
411,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-08,2018-01-20,N
412,The Millwood,921 Millwood Rd,Retirement Home,Respiratory,Influenza B,,2018-01-08,2018-01-22,N
413,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Influenza A (H3),,2018-01-08,2018-01-18,N
414,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Enteric,Norovirus-like,,2018-01-07,2018-01-12,N
415,Bridgepoint Active Healthcare - 3N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-01-06,2018-01-12,N
416,Better Living at Thompson House - 4th Fl,1 Overland Dr,LTCH,Respiratory,Unable to identify,,2018-01-06,2018-01-22,N
417,Carefirst Transitional Care Centre,300 Silver Star Blvd,Retirement Home,Respiratory,Unable to identify,,2018-01-05,2018-01-19,N
418,The Annex,123 Spadina Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-01-05,2018-01-16,N
419,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-01-05,2018-02-02,N
420,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Enteric,Unable to identify,,2018-01-05,2018-01-19,N
421,Downsview Long Term Care Centre,3595 Keele St,LTCH,Respiratory,Influenza A (H3),"Influenza B, Metapneumovirus",2018-01-05,2018-01-31,N
422,Moll Berczy Haus - 4th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-04,2018-01-18,N
423,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-04,2018-01-26,N
424,Sunnybrook Health Sciences Centre - C4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-01-04,2018-01-12,N
425,Kensington Gardens South - 1 West & 2 West,25 Brunswick Ave,LTCH,Respiratory,Influenza B,,2018-01-04,2018-01-19,N
426,The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Influenza B,,2018-01-04,2018-01-19,N
427,Shepherd Lodge,3760 Sheppard Ave E,LTCH,Respiratory,"Influenza A (H3), Parainfluenza type 1",Respiratory syncytial virus,2018-01-03,2018-01-29,N
428,Chester Village - 2nd Fl East & 4th Fl (East &west),3555 Danforth Ave,LTCH,Respiratory,Influenza A (H3),,2018-01-03,2018-01-15,N
429,Carefree Lodge - Main & 2nd Fl,306 Finch Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-03,2018-01-19,N
430,West Park Healthcare Centre - Acute Brain Injury Unit,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-01-03,2018-01-11,N
431,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Enteric,Norovirus-like,,2018-01-03,2018-01-30,N
432,Mount Sinai Hospital - 10 North & 10 South,600 University Ave,Hospital-Acute Care,Enteric,Unable to identify,,2018-01-02,2018-01-12,N
433,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-01-02,2018-01-30,N
434,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Influenza B,,2018-01-02,2018-01-29,N
435,North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Enteric,Norovirus-like,,2018-01-02,2018-01-17,N
436,Shepherd Lodge,3760 Sheppard Ave E,LTCH,Enteric,Norovirus-like,,2018-01-02,2018-01-22,N
437,Sunnybrook Health Sciences Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Enteric,Norovirus-like,,2018-01-02,2018-01-16,N
438,Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2018-01-01,2018-01-05,N
439,St. Clair O'Connor Nursing Home,2701 St Clair Ave E,LTCH,Enteric,Unable to identify,,2018-01-01,2018-01-08,N
