_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2017-12-29,2018-01-10,N
2,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Unable to identify,,2017-12-29,2018-01-26,N
3,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,,2017-12-29,2018-01-08,N
4,Greenview Lodge Retirement Home,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (H3),Metapneumovirus,2017-12-29,2018-01-15,N
5,Toronto General Hospital - 8 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-12-28,2018-01-05,N
6,Baycrest Hospital - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2017-12-27,2018-01-05,N
7,William Osler Health System - 10th Fl Medicine/Respiratory,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-12-26,2018-01-02,N
8,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-2,Hospital-Psychiatric,Respiratory,Influenza A (H3),,2017-12-26,2018-01-10,N
9,Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A (H3),Influenza B,2017-12-25,2018-01-09,N
10,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-12-25,2018-01-03,N
11,Castleview Wychwood Tower - 5th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,,2017-12-24,2018-01-05,N
12,Chartwell Trilogy Long Term Care Residence - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,,2017-12-24,2018-01-02,N
13,Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-12-22,2017-12-30,N
14,"St. Hilda's Towers - Dufferin Tower - MED, RIU & TCP",2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,2017-12-22,2017-12-28,N
15,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-12-22,2017-12-30,N
16,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,,2017-12-21,2018-01-13,N
17,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3 LGUB,Hospital-Psychiatric,Respiratory,Unable to identify,,2017-12-21,2017-12-30,N
18,Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (H3),,2017-12-20,2018-01-03,N
19,Sunnybrook Health Sciences Centre - CrCU,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,,2017-12-20,2018-05-01,N
20,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Norovirus-like,,2017-12-20,2018-01-03,N
21,Living Life on the Avenue Retirement Residence,1066 Avenue Rd,Retirement Home,Respiratory,Influenza B,,2017-12-19,2018-01-02,N
22,Better Living at Thompson House,1 Overland Dr,LTCH,Enteric,Norovirus-like,,2017-12-19,2018-01-29,N
23,Bridgepoint Active Healthcare - 7 North & 6 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Unable to identify,,2017-12-18,2017-12-28,N
24,Valleyview Residence - 3 East,541 Finch Ave W,LTCH,Respiratory,Influenza A (Not subtyped),,2017-12-18,2017-12-27,N
25,New Horizons Tower,1140 Bloor St W,Retirement Home,Enteric,Norovirus-like,,2017-12-18,2018-01-09,N
26,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A (H3),,2017-12-18,2017-12-31,N
27,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Respiratory syncytial virus,,2017-12-18,2018-01-05,N
28,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Unable to identify,,2017-12-15,2017-12-27,N
29,William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-12-15,2017-12-29,N
30,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,,2017-12-14,2017-12-23,N
31,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,2017-12-14,2017-12-23,N
32,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,,2017-12-14,2017-12-22,N
33,Fieldstone Commons Care Community - 4A & 4B,1000 Ellesmere Rd,LTCH,Enteric,Norovirus-like,,2017-12-13,2018-01-11,N
34,St. Hilda's Towers - RIU,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,,2017-12-13,2017-12-19,N
35,Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-12-12,2017-12-27,N
36,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-12-11,2018-01-05,N
37,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A (H3),Parainfluenza virus,2017-12-11,2018-01-02,N
38,Centre for Addiction and Mental Health - Queen Site,1001 Queen St W - 80 Workman Way - 3rd Fl,Hospital-Psychiatric,Enteric,Unable to identify,,2017-12-11,2017-12-18,N
39,The Hospital for Sick Children - 7D,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2017-12-11,2017-12-18,N
40,Centre for Addiction and Mental Health - Unit 5,250 College St,Hospital-Psychiatric,Enteric,Unable to identify,,2017-12-10,2017-12-18,N
41,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,,2017-12-08,2017-12-18,N
42,North York General Hospital - Seniors' Health Centre- 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,,2017-12-08,2017-12-26,N
43,Yee Hong Centre For Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 4th Fl,LTCH,Enteric,Norovirus-like,,2017-12-08,2017-12-20,N
44,Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,,2017-12-08,2017-12-21,N
45,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza type 2,,2017-12-07,2017-12-14,N
