_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,North York General Hospital - 4W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2025-12-31,2026-01-07,N
2,"Rockcliffe Care Community - Ground, 1st & 2nd Fl Primrose",3015 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2025-12-31,2026-01-19,N
3,Belmont House Long Term Care - 4 West,55 Belmont St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-30,2026-01-09,N
4,Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Unable to identify,,2025-12-30,2026-01-08,N
5,Kennedy Lodge - Main North & 3rd Fl North,1400 Kennedy Rd,LTCH,Respiratory,Parainfluenza,,2025-12-30,2026-01-14,N
6,Presentation Manor - 2nd Fl,61 Fairfax Cres,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-30,2026-01-06,N
7,Runnymede Healthcare Centre - 2W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-30,2026-01-04,N
8,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-30,2026-01-09,N
9,Valleyview Residence - 2E,541 Finch Ave W,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2025-12-30,2026-01-15,N
10,Amica Bayview Gardens Retirement Residence - 6th Fl,19 Rean Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-29,2026-01-06,N
11,Downsview Long Term Care Centre - 1 Centre,3595 Keele St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-29,2026-01-07,N
12,"Hazelton Place Retirement Residence - 4th, 5th & 7th Fl",111 Avenue Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-29,2026-01-08,N
13,Humber River Hospital - 9E,1235 Wilson Ave,Hospital-Acute Care,Respiratory,COVID-19,,2025-12-29,2026-01-04,N
14,North York General Hospital - 3N,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2025-12-29,2026-01-05,N
15,Southlake Regional Health Ctre - RCC Finch Site - 5E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-29,2026-01-07,N
16,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2025-12-29,2026-01-14,N
17,Westside Long-Term Care Home,1145 Albion Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-29,2026-01-16,N
18,Christie Gardens Apartment and Care - Cedarvale Neighbourhood,600 Melita Cres,Retirement Home,Respiratory,Influenza A (H3),,2025-12-28,2026-01-06,N
19,Norwood Nursing Home,122 Tyndall Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-28,2026-01-12,N
20,Toronto Rehabilitation Institute - Bickle Centre - 3 South,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-28,2026-01-07,N
21,Villa Colombo Homes for the Aged - 5 Fidani,40 Playfair Ave,LTCH,Respiratory,COVID-19,,2025-12-28,2026-01-14,N
22,Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-27,2026-01-13,N
23,Donway Place - Independent Living - 1st & 2nd Fl,8 The Donway East,Retirement Home,Respiratory,Coronavirus*,,2025-12-27,2026-01-02,N
24,Downsview Long Term Care Centre - 1 Centre & 1 East,3595 Keele St,LTCH,Respiratory,COVID-19,,2025-12-27,2026-01-13,N
25,Extendicare Guildwood - West,60 Guildwood Pkwy,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-27,2026-01-13,N
26,Runnymede Healthcare Centre - 4 West Rehab,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-27,2026-01-04,N
27,Chartwell Grenadier Retirement Residence - D Building - 3rd Fl,2100 Bloor St W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-26,2026-01-05,N
28,Kensington Gardens - South Building - 3 East,25 Brunswick Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-26,2026-01-05,N
29,Labdara Lithuanian Nursing Home - 1st & 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-26,2026-01-12,N
30,Sage Care Retirement Residence - Unit E - 2nd & 3rd Fl,147 Elder St,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-26,2026-01-02,N
31,Tony Stacey Centre for Veterans' Care - 2nd Fl,59 Lawson Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-26,2025-12-30,N
32,UHN - Toronto Western Hospital - 6AB,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-26,2026-01-06,N
33,Yee Hong Centre - Scarborough Finch - 6 North & 6 South,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza,,2025-12-26,2026-01-08,N
34,Runnymede Healthcare Centre - 2 East,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-25,2026-01-03,N
35,The Rekai Centre Wellesley Place - 3rd Fl East,160 Wellesley St E,LTCH,Respiratory,Coronavirus*,,2025-12-25,2026-01-02,N
36,Baycrest Hospital - 6 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-24,2026-01-07,N
37,Centre for Addiction and Mental Health - MWS - 4th Fl,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2025-12-24,2025-12-31,N
38,Christie Gardens Apartment and Care - Seaton Neighborhood,600 Melita Cres,LTCH,Respiratory,Influenza A (H3),,2025-12-24,2026-01-02,N
39,Don Mills Retirement Residence - 4th Fl,2 Green Belt Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-24,2026-01-02,N
40,Main Street Terrace - 1st Fl,77 Main St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-24,2026-01-06,N
41,Shepherd Lodge,3760 Sheppard Ave E,LTCH,Respiratory,Unable to identify,,2025-12-24,2026-01-02,N
42,UHN - Toronto Western Hospital - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2025-12-24,2026-01-02,N
43,UHT - Providence Healthcare - A5,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-24,2025-12-31,N
44,Humber River Health - 7E,1235 Wilson Ave,Hospital-Acute Care,Respiratory,Influenza A (H3),,2025-12-23,2025-12-27,N
45,Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-23,2025-12-31,N
46,North York General Hospital - General Site - 6W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2025-12-23,2025-12-30,N
47,North York General Hospital - Seniors' Health Centre - 3rd & 4th Fl,2 Buchan Crt,LTCH,Respiratory,Influenza A (H3),,2025-12-23,2026-01-06,N
48,Runnymede Long Term Care Home - 2 East,621 Runnymede Rd,LTCH,Respiratory,Rhinovirus,,2025-12-23,2025-12-24,N
49,Seven Oaks Long Term Care Centre - 4th Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-23,2026-01-05,N
50,Weston Gardens Transitional Care Unit - 2nd Fl,303 Queens Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-23,2026-01-05,N
51,Centre for Addiction and Mental Health - Unit 3-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2025-12-22,2026-01-04,N
52,Delmanor Northtown - 5th Fl,5351 Yonge St,Retirement Home,Respiratory,Unable to identify,,2025-12-22,2026-01-08,N
53,Donway Place - Independent Living - 4th Fl,8 The Donway East,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-22,2026-01-02,N
54,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-22,2026-01-17,N
55,Fairview Nursing Home - 2nd Fl,14 Cross St,LTCH,Respiratory,COVID-19,,2025-12-22,2026-01-02,N
56,Kennedy Lodge Long Term Care Home - 1st Fl South,1400 Kennedy Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-22,2025-12-29,N
57,St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-22,2025-12-27,N
58,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-22,2025-12-30,N
59,St. Joseph's Health Centre - 7M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-22,2025-12-29,N
60,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-22,2025-12-31,N
61,Mount Sinai Hospital - Unit 10S,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A (H3),,2025-12-21,2025-12-29,N
62,Fudger House - 1W,439 Sherbourne St,LTCH,Respiratory,Rhinovirus,,2025-12-20,2025-12-31,N
63,North York General Hospital - RCC Branson Site - 4th Fl,555 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza A (H1),,2025-12-20,2026-01-02,N
64,Carefree Lodge - 1 West Willowdale,306 Finch Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2025-12-19,2025-12-29,N
65,Cedarhurst Dementia Care Home - 1st Fl West & East,2601 Bayview Ave,Retirement Home,Respiratory,COVID-19,,2025-12-19,2026-01-10,N
66,Fairview Nursing Home - 1st & 2nd Fl,14 Cross St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-19,2026-01-07,N
67,Harmony Hills Care Community - 2A & 2B,1800 O'Connor Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-19,2025-12-30,N
