_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
68,Humber Meadows Long Term Care - 2nd Fl North Side,2109 Finch Ave W,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-19,2025-12-29,N
69,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-19,2025-12-30,N
70,The Rekai Centres - Sherbourne Place - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-19,2025-12-29,N
71,UHN - Toronto General Hospital - 6MA,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2025-12-19,2026-01-01,N
72,UHN - Toronto Western Hospital - 9B Fell,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,,2025-12-19,2025-12-27,N
73,Amica Bayview Village - 5th Fl,15 Barberry Pl,Retirement Home,Respiratory,Unable to identify,,2025-12-18,2025-12-27,N
74,Baycrest Hospital - 4W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-18,2025-12-31,N
75,Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-18,2026-01-06,N
76,Norfinch Care Community - 1A,22 Norfinch Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-18,2025-12-29,N
77,Parkland on Eglinton West - 4th & 5th Fl,4650 Eglinton Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-18,2025-12-30,N
78,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2025-12-18,2026-01-05,N
79,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-18,2025-12-24,N
80,Runnymede Healthcare Centre - 3W,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2025-12-18,2025-12-25,N
81,Trillium Health Partners - Queensway Health Centre - Ortho Unit,150 Sherway Dr,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-18,2025-12-27,N
82,Villa Colombo Homes for the Aged - 2 Fusco North,40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-18,2025-12-27,N
83,Fountain View Care Community,1800 O'Connor Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-17,2026-01-02,N
84,Harold and Grace Baker Centre - 4th & 6th Fl,1 Northwestern Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-17,2025-12-30,N
85,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,Influenza A (H3),,2025-12-17,2026-01-07,N
86,Ivan Franko Home - 2nd Fl West,767 Royal York Rd,LTCH,Respiratory,Respiratory syncytial virus,,2025-12-17,2025-12-31,N
87,Lakeshore Lodge,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,,2025-12-17,2025-12-22,N
88,Rockcliffe Care Community - 2nd Fl Primrose & Poinsettia,3015 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2025-12-17,2025-12-29,N
89,"Village of Humber Heights - 2nd, 3th & 4th Fl",2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,,2025-12-17,2025-12-29,N
90,Downsview Long Term Care Centre - 1 Centre,3595 Keele St,LTCH,Respiratory,Unable to identify,,2025-12-16,2025-12-22,N
91,Kipling Acres - Alders Unit,2233 Kipling Ave,LTCH,Respiratory,Influenza A (H3),,2025-12-16,2025-12-25,N
92,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Unable to identify,,2025-12-16,2026-01-02,N
93,Amica Bayview Gardens Retirement Residence,19 Rean Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-15,2025-12-22,N
94,Baycrest Apotex Centre - Jewish Home for the Aged - 6RF,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-15,2025-12-24,N
95,Canterbury Place Retirement Residence - 16th Fl,1 Canterbury Pl,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-15,2025-12-20,N
96,Centre for Addiction and Mental Health - Unit 1-2,1001 Queen St W,Hospital-Psychiatric,Respiratory,Respiratory syncytial virus,,2025-12-15,2025-12-25,N
97,Centre for Addiction and Mental Health - Unit 1-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2025-12-15,2025-12-25,N
98,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Influenza A (H3),,2025-12-15,2025-12-27,N
99,Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Parainfluenza,,2025-12-15,2025-12-23,N
100,Harold and Grace Baker Centre - 3rd Fl,1 Northwestern Ave,Retirement Home,Respiratory,Coronavirus*,,2025-12-15,2025-12-30,N
101,Hellenic Home for the Aged,2411 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2025-12-15,2026-01-05,N
102,North York General Hospital - 7N,2001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-15,2025-12-24,N
103,Scarborough Retirement Residence - 7th Fl,148 Markham Rd,Retirement Home,Respiratory,Influenza A (H3),,2025-12-15,2025-12-28,N
104,Weston Gardens Retirement Residence,303 Queens Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-15,2026-01-02,N
105,Centre for Addiction and Mental Health - Unit 1-2,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (H3),,2025-12-14,2025-12-23,N
106,Villa Colombo Homes for the Aged - 2nd Fl Fidani,40 Playfair Ave,LTCH,Respiratory,Unable to identify,,2025-12-14,2025-12-22,N
107,Hellenic Care for Seniors - Ground Fl,215 Tyrell Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-12,2025-12-21,N
108,Nisbet Lodge - 5th Fl,740 Pape Ave,LTCH,Respiratory,Influenza A (H3),,2025-12-12,2025-12-22,N
109,Nisbet Lodge - 7th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,,2025-12-12,2025-12-12,N
110,St. Clair O'Connor - 3rd Fl,2701 St. Clair Ave E,LTCH,Respiratory,Influenza A (H3),,2025-12-12,2025-12-29,N
111,"Terraces of Baycrest Retirement Residence - 1st, 2nd, 3rd, 6th, 7th, 9th & 10th Fl",55 Ameer Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-12,2025-12-25,N
112,Village of Humber Heights - 3rd Fl,2245 Lawrence Ave W,LTCH,Respiratory,Respiratory syncytial virus,,2025-12-12,2025-12-30,N
113,Downsview Long Term Care Centre - 1 Centre & 2 Centre,3595 Keele St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-11,2025-12-22,N
114,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,Influenza A (H1N1),,2025-12-11,2025-12-31,N
115,Runnymede Long Term Care Home - 2 West,621 Runnymede Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-11,2025-12-19,N
116,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2025-12-11,2025-12-25,N
117,The Village of Humber Heights,2245 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-11,2025-12-30,N
118,Wesburn Manor - 3 South,400 The West Mall,LTCH,Respiratory,COVID-19,,2025-12-11,2025-12-20,N
119,AgeCare Westbury Long Term Care Residence - 5th Fl,495 The West Mall,LTCH,Respiratory,Influenza A (H3),,2025-12-10,2025-12-26,N
120,Carefree Lodge Long Term Care Home - 1st Fl,306 Finch Ave E,LTCH,Respiratory,Rhinovirus,,2025-12-10,2025-12-20,N
121,Cedarbrook Transitional Care Unit,520 Markham Rd,Retirement Home,Respiratory,Unable to identify,,2025-12-10,2025-12-26,N
122,Harold and Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-10,2025-12-25,N
123,Holland Bloorview Kids Rehabilitation Hospital - 3E Complex Care Unit,150 Kilgour Rd,Hospital-Chronic Care,Enteric,Norovirus,,2025-12-10,2025-12-19,N
124,TEHN - Atrium at Kew Beach - 1st & 3rd Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-10,2026-01-04,N
125,UHN - West Park Long Term Care Centre - Humber & York,155 Emmett Ave,LTCH,Respiratory,Unable to identify,,2025-12-10,2025-12-22,N
126,UHN - West Park Long Term Care Centre - Weston & Mulholland,155 Emmett Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,,2025-12-10,2025-12-25,N
127,Unity Health Toronto - Providence Healthcare - A4,76 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-10,2026-01-05,N
128,Unity Health Toronto - Providence Healthcare - A4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-10,2025-12-22,N
129,AgeCare Westbury Long Term Care Residence - 4th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,,2025-12-09,2025-12-19,N
130,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,COVID-19,,2025-12-09,2025-12-21,N
131,"Canterbury Place Retirement Residence - 4th, 6th, 8th, 11th & 13th Fl",1 Canterbury Pl,Retirement Home,Respiratory,Coronavirus*,,2025-12-09,2025-12-19,N
132,Seven Oaks - 3rd & 5th Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A (H3),,2025-12-09,2025-12-24,N
133,William Osler Health System - Etobicoke General Hospital - 8W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-09,2025-12-17,N
134,Agecare Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,,2025-12-08,2025-12-17,N
135,Baycrest Apotex Centre - Jewish Home for the Aged - 4GS,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-08,2025-12-16,N
136,Fieldstone Commons Care Community - 2A,1000 Ellesmere Rd,LTCH,Respiratory,Influenza A (H3),,2025-12-08,2025-12-14,N
137,"Glen Rouge Community - 1st Fl - Wing 1, 2 & 3",92 Island Rd,LTCH,Respiratory,COVID-19,,2025-12-08,2025-12-21,N
138,Humber River Hospital - 11 West,1235 Wilson Ave,Hospital-Acute Care,Respiratory,COVID-19,,2025-12-08,2025-12-10,N
139,Mon Sheong Scarborough - GF-SU & SPH,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),,2025-12-08,2025-12-23,N
140,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-08,2025-12-23,N
141,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3),,2025-12-08,2025-12-24,N
142,The Annex - 3rd Fl,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,,2025-12-08,2025-12-18,N
143,The Salvation Army - Toronto Grace Health Centre - 4th Fl,650 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-08,2025-12-14,N
144,UHN - Toronto Rehabilitation Institute - Bickle Centre - North 5,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-08,2025-12-22,N
145,Unity Health Toronto  - St. Joseph's Health Centre - 4M,30 The Queensway Quay,Hospital-Acute Care,Respiratory,COVID-19,,2025-12-08,2025-12-23,N
146,Unity Health Toronto - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2025-12-08,2025-12-18,N
147,Villa Colombo Homes For The Aged - 3 Fusco South,40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-07,2025-12-17,N
148,Castleview Wychwood Towers - 5 West,351 Christie St,LTCH,Respiratory,COVID-19,,2025-12-06,2025-12-29,N
149,Castleview Wychwood Towers - 5th Fl C Wing,351 Christie St,LTCH,Respiratory,Influenza A (H3),,2025-12-06,2025-12-15,N
150,House of Providence - HOP 1E,3276 St. Clair Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-06,2025-12-24,N
151,House of Providence - HOP 2E,3276 St. Clair Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-06,2025-12-24,N
152,House of Providence - HOP 4E,3276 St. Clair Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-06,2025-12-24,N
153,Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-05,2025-12-12,N
154,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,,2025-12-05,2025-12-14,N
155,Harmony Hills Care Community - 3A Rainbow Valley,1800 O'Connor Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-05,2025-12-19,N
156,Humber River Hospital - RCC Finch Site - F3E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-05,2025-12-27,N
157,Westside Long Term Care Home - 2nd & 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus*,,2025-12-05,2025-12-15,N
158,Cedarbrook Transitional Care Unit - 6th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,,2025-12-04,2025-12-22,N
159,Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-04,2025-12-16,N
160,Age Care Trilogy - 5th Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,,2025-12-03,2025-12-13,N
161,Downsview Long Term Care Centre - 2 Centre,3595 Keele St,LTCH,Respiratory,Respiratory syncytial virus,,2025-12-03,2025-12-12,N
162,Downsview Long Term Care Centre - 2 North,3595 Keele St,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-03,2025-12-15,N
163,Extendicare Scarborough - 2nd Fl,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2025-12-03,2025-12-19,N
164,"Harmony Hills Care Community - 1A, 2A, 2B & 3A",1800 O'Connor Dr,LTCH,Respiratory,Unable to identify,,2025-12-03,2025-12-30,N
165,SHSC - St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-03,2025-12-16,N
166,St. Clair O'Connor - 3rd Fl,2701 St Clair Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2025-12-03,2025-12-11,N
167,Venvi Guildwood Retirement Residence - 2nd Fl Memory Care,65 Livingston Rd,Retirement Home,Enteric,Unable to identify,,2025-12-03,2025-12-13,N
168,William Osler Health System - Etobicoke General Hospital - 9E,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-03,2025-12-11,N
169,Bethseda Home - 2nd Fl,76 Silversted Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),,2025-12-02,2025-12-13,N
170,Humber River Hospital - Finch Site - F3E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2025-12-02,2025-12-12,N
171,William Osler Health System - Church Site - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,,2025-12-02,2025-12-16,N
172,Aspira Kensington Place Retirement Living - 6th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,COVID-19,,2025-12-01,2025-12-16,N
173,Extendicare Scarborough - 1st Fl,3830 Lawrence Ave E,LTCH,Respiratory,Influenza A (H3),,2025-12-01,2025-12-12,N
174,Scarborough Health Network - General Hospital - T7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-12-01,2025-12-10,N
175,Unity Health Toronto - Houses of Providence - HOP 3 East,3276 St. Clair Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2025-12-01,2025-12-24,N
176,True Davidson Acres - 5th Fl East,200 Dawes Rd,LTCH,Respiratory,Influenza A (H3),,2025-11-30,2025-12-15,N
177,William Osler Health System - Etobicoke General Hospital - 9W,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-11-30,2025-12-08,N
178,Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,,2025-11-29,2025-12-10,N
179,Carefree Lodge Long Term Care Home - 2nd Fl,306 Finch Ave E,LTCH,Respiratory,COVID-19,,2025-11-28,2025-12-08,N
180,Centre for Addiction and Mental Health - Unit 3-2,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,,2025-11-28,2025-12-08,N
181,Kensington Gardens (North Building) - 1 West,25 Brunswick Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-11-28,2025-12-03,N
182,True Davidson Acres - 4th Fl,200 Dawes Rd,LTCH,Respiratory,Influenza A (H3),,2025-11-28,2025-12-17,N
183,Venvi Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,COVID-19,,2025-11-27,2025-12-11,N
184,Village of Humber Heights - Williamsburg East Neighborhood,2245 Lawrence Ave W,Retirement Home,Respiratory,Parainfluenza,,2025-11-27,2025-12-15,N
185,Harold and Grace Baker Centre - A-Wing,1 Northwestern Ave,LTCH,Respiratory,Coronavirus*,,2025-11-26,2025-12-13,N
186,Humber River Hospital - 13 East,1235 Wilson Ave,Hospital-Acute Care,Respiratory,COVID-19,,2025-11-26,2025-12-04,N
187,Humber River Hospital - 13 East,1235 Wilson Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-11-26,2025-12-04,N
188,Valleyview Residence - 3 East,521 Finch Ave W,LTCH,Respiratory,Rhinovirus,,2025-11-26,2025-12-02,N
