_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2024-12-31,2025-01-11,N
2,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,COVID-19,,2024-12-31,2025-01-14,N
3,"Chartwell Scarlett Heights - 3rd, 7th & 8th Fl",4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,,2024-12-31,2025-01-10,N
4,Cheltenham Care Community - 1st & 3rd Fl,5935 Bathurst St,LTCH,Respiratory,Influenza A (H1N1),,2024-12-31,2025-01-11,N
5,Copernicus Lodge - 6th Fl,66 Roncessvalles Ave,LTCH,Respiratory,COVID-19,,2024-12-31,2025-01-08,N
6,"Delmanor Northtown - 2nd, 5th & 6th Fl",5351 Yonge St,Retirement Home,Respiratory,Influenza A (Not subtyped),Enterovirus/ Rhinovirus,2024-12-31,2025-01-15,N
7,Runnymede Healthcare Centre - 4E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2024-12-31,2025-01-08,N
8,Scarborough Health Network - Birchmount Hospital - 3D,3030 Birchmount Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2024-12-31,2025-01-09,N
9,"Villa Colombo Home for the Aged - 2 Fusco West , 4 Fusco North & 4 Fusco South",40 Playfair Ave,LTCH,Respiratory,Coronavirus*,,2024-12-31,2025-01-22,N
10,Villa Colombo Homes for the Aged - 3 Fusco South,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,,2024-12-31,2025-01-06,N
11,Baycrest Apotex Centre - Jewish Home for the Aged - 4FR,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2024-12-30,2025-01-05,N
12,Baycrest Apotex Centre - Jewish Home for the Aged - 6GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2024-12-30,2025-01-11,N
13,Centre for Addiction and Mental Health - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,,2024-12-30,2025-01-08,N
