_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
67,Centre for Addiction and Mental Health - Queen Street Site - PRT7,1001 Queen Street West,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-15,2022-12-25,N
68,Mon Sheong Scarborough Long Term Care Centre - 2 North & 2 South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2022-12-15,2023-01-05,N
69,Unity Health Toronto - St. Michael's - 14CG,30 Bond Street,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-15,2022-12-23,N
70,Michael Garron Hospital - H7,825 Coxwell Avenue,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-14,2022-12-20,N
71,Shepherd Lodge - 5th Fl South & 6th Fl North,3760 Sheppard Avenue East,LTCH,Respiratory,COVID-19,,2022-12-14,2023-01-29,N
72,Unity Health Toronto - Houses of Providence - 2 West,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2022-12-14,2022-12-23,N
73,University Health Network - Toronto General - 9ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-14,2023-01-02,N
74,Valleyview Residence - 4 West,541 Finch Ave W,Retirement Home,Respiratory,Unable to identify,,2022-12-14,2023-01-05,N
75,Altamont Care Community - Wing 4,92 Island Rd,LTCH,Respiratory,COVID-19,,2022-12-13,2022-12-26,N
76,Chartwell Guildwood Retirement Residence - Memory Living,65 Livingston Rd,Retirement Home,Respiratory,Respiratory syncytial virus,,2022-12-13,2022-12-22,N
77,Extendicare Scarborough - 2 East,3830 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,,2022-12-13,2022-12-27,N
78,Fudger House - 3W,439 Sherbourne St,LTCH,Respiratory,COVID-19,,2022-12-13,2023-01-11,N
79,The Sumach by Chartwell - 7th Fl,146 Sumach St,Retirement Home,Respiratory,COVID-19,,2022-12-13,2022-12-22,N
80,Unity Health Toronto - Houses of Providence - 1W - Balsam House,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2022-12-13,2023-01-02,N
81,Unity Health Toronto - Providence - A4,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-13,2022-12-23,N
82,Chartwell Scarlett Heights Retirement Residence - 3rd Fl,4005 Eglinton Avenue W,Retirement Home,Respiratory,COVID-19,,2022-12-12,2022-12-23,N
83,Cummer Lodge - 4th Fl,205 Cummer Ave,LTCH,Respiratory,Influenza A (H3),,2022-12-12,2022-12-21,N
84,"Fudger House - 1 East, 1 West & 2 West",439 Sherbourne St,LTCH,Respiratory,Respiratory syncytial virus,"Metapneumovirus, Rhinovirus",2022-12-12,2023-01-18,N
85,Runnymede Healthcare Centre - 3E,625 Runnymede Road,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-12,2023-01-01,N
86,Sunnybrook Health Sciences Centre - Bayview Campus - C2,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-12,2022-12-22,N
87,The Annex - 4th Fl,123 Spadina Rd,Retirement Home,Enteric,Unable to identify,,2022-12-12,2022-12-17,N
88,The Dunfield Retirement Residence - 4th Fl,77 Dunfield Ave,Retirement Home,Respiratory,Parainfluenza,,2022-12-12,2022-12-20,N
89,"The Kensington Gardens - 1E, 2E & 3E",25 Brunswick Ave,LTCH,Respiratory,Influenza A (Not subtyped),"Rhinovirus, Respiratory syncytial virus",2022-12-12,2023-01-01,N
90,Trillium Health Partners - McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2022-12-12,2022-12-19,N
91,Chartwell Westbury Long Term Care Residence - 3rd Fl,495 The West Mall,LTCH,Respiratory,Respiratory syncytial virus,,2022-12-11,2022-12-21,N
92,"Copernicus Lodge - 2S, 3S & 2N",66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,,2022-12-11,2023-01-03,N
93,Sunnybrook Health Sciences Centre - Bayview Campus - K3C Complex Malignant Haematology Unit,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-11,2022-12-20,N
94,Unity Health Toronto - St. Joseph's - 2M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-11,2022-12-20,N
95,Chartwell Westbury Long Term Care Residence - 3rd Fl,495 The West Mall,LTCH,Respiratory,COVID-19,,2022-12-10,2022-12-28,N
96,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,COVID-19,,2022-12-10,2023-01-09,N
97,Copernicus Lodge - 5th Fl,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2022-12-09,2022-12-18,N
98,Extendicare Rouge Valley - 2nd Fl Morningside,551 Conlins Rd,LTCH,Respiratory,COVID-19,,2022-12-09,2023-01-03,N
99,"Fieldstone Commons Care Community - 2B, 3B & 4B",1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,,2022-12-09,2023-01-27,N
100,"Kensington Gardens - South Building - 1E, 2E & 2W",25 Brunswick Ave,LTCH,Enteric,Unable to identify,,2022-12-09,2022-12-15,N
101,"Lakeshore Lodge - 3N, 4S & 4N",3197 Lakeshore Blvd,LTCH,Respiratory,COVID-19,,2022-12-09,2023-01-03,N
102,University Health Network - Toronto General - 7MA,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-09,2022-12-20,N
103,West Park Healthcare Centre - ABI (Acquired Brain Injury),82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-09,2022-12-19,N
104,"Ehtare Retirement Home - 1st, 2nd & 3rd Fl",40 Old Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2022-12-08,2022-12-26,N
105,Extendicare Rouge Valley - 2nd Fl Cedar Ridge & 3rd Fl Meadowvale,551 Conlins Rd,LTCH,Respiratory,Respiratory syncytial virus,Enterovirus/Rhinovirus,2022-12-08,2023-01-03,N
106,"Lakeshore Lodge - 2 North, 3 North, 3 South & 4 South",3197 Lakeshore Blvd,LTCH,Respiratory,Influenza A (Not subtyped),,2022-12-08,2022-12-20,N
107,"Seven Oaks - 2nd, 4th & 5th Fl",9 Neilson Rd,LTCH,Respiratory,COVID-19,,2022-12-08,2023-01-20,N
108,Sherbourne Place - 4th Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,,2022-12-08,2022-12-22,N
109,The Teddington Retirement Residence - 2nd & 5th Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Respiratory syncytial virus,,2022-12-08,2022-12-24,N
110,Bendale Acres - 1W/CSU & 2nd Fl East,2920 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,,2022-12-07,2022-12-28,N
111,Isabel and Arthur Meighen Manor - Coombs Unit,155 Millwood Rd,LTCH,Respiratory,COVID-19,,2022-12-07,2022-12-16,N
112,Rose of Sharon Korean Long Term Care - 5th & 6th Fl,17 Maplewood Ave,LTCH,Respiratory,COVID-19,,2022-12-07,2023-01-13,N
113,Sinai Health System - Hennick Bridgepoint - 9N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-07,2022-12-23,N
114,St. Bernard's Residence - 3rd Fl,685 Finch Avenue,Retirement Home,Respiratory,COVID-19,,2022-12-07,2022-12-23,N
115,Unity Health Toronto - Providence - B3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-07,2022-12-16,N
116,Hazelton Place Retirement Residence - 2nd & 6th Fl,111 Avenue Rd,Retirement Home,Respiratory,COVID-19,,2022-12-06,2022-12-22,N
117,Humber River Hospital - Wilson - 13 West,1235 Wilson Avenue,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-06,2022-12-17,N
118,True Davidson Acres - 3rd & 4th Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,,2022-12-06,2023-01-19,N
119,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 2nd Fl East,500 Kingston Rd.,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-05,2022-12-20,N
120,One Kenton Place - Activities Rm Main Fl & 3rd Fl,1-3 Kenton Dr,Retirement Home,Respiratory,Rhinovirus,,2022-12-05,2022-12-12,N
121,RCC - Mackenzie Health Hospital - Finch Site - 3 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-05,2022-12-23,N
122,"The Village of Humber Heights - Alderwood, Brule & Lambton",2245 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),,2022-12-05,2022-12-22,N
123,University Health Network - Toronto General - 14ES,200 Elizabeth Street,Hospital-Acute Care,Respiratory,COVID-19,,2022-12-05,2022-12-17,N
124,Unity Health Toronto - Houses of Providence - Maple House - 1st Fl West,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,,2022-12-04,2022-12-29,N
125,"Leaside Retirement Residence - Bldg 10, 2nd Fl",10 -14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,,2022-12-03,2023-01-16,N
126,"The Village of Humber Heights - Lambton, Islington, Weston, Brule, Wadsworth & Alderwood",2245 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2022-12-03,2023-01-30,N
127,Villa Colombo Homes for the Aged - 1st Fl Fidani,40 Playfair Ave,LTCH,Respiratory,COVID-19,,2022-12-03,2022-12-21,N
128,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Respiratory syncytial virus,,2022-12-02,2022-12-13,N
129,Harold and Grace Baker Centre - 3rd Fl,1 Northwestern Avenue,Retirement Home,Respiratory,COVID-19,,2022-12-02,2022-12-20,N
130,William Osler Health System - NICU,101 Humber College Blvd,Hospital-Acute Care,Other,Unable to identify,,2022-12-02,2022-12-21,N
131,Atrium at Kew Beach - Michael Garron Hospital Affiliated Unit - 1st Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2022-12-01,2022-12-20,N
132,Mon Sheong Scarborough Long Term Care Centre - 3 South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,,2022-12-01,2022-12-11,N
133,Toronto East Health Network - Michael Garron Hospital - B2,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2022-12-01,2022-12-15,N
134,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Influenza A (H3),,2022-11-30,2022-12-09,N
135,Extendicare Guildwood - East Wing & West Wing Spur 1,60 Guildwood Pky,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-30,2022-12-14,N
136,Isabel and Arthur Meighen Manor - Lawrence & Fisher Unit,155 Millwood Rd,LTCH,Respiratory,Influenza A (H3),,2022-11-30,2022-12-16,N
137,Lakeshore Lodge - 2nd Fl South,3197 Lakeshore Blvd W,LTCH,Respiratory,Influenza A (H3),,2022-11-30,2022-12-05,N
138,Nisbet Lodge - 3rd & 6th Fl,740 Pape Ave,LTCH,Respiratory,Respiratory syncytial virus,,2022-11-30,2022-12-30,N
139,Rayoak Place - 1st Fl,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,,2022-11-30,2022-12-18,N
140,Suomi Koti Nursing Home - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Unable to identify,,2022-11-30,2022-12-16,N
141,Terraces of Baycrest - 5th Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2022-11-30,2022-12-15,N
142,Weston Terrace Care Community - 2A,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-30,2022-12-06,N
143,Baycrest Hospital - North York - 6W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,,2022-11-29,2022-12-08,N
144,Canterbury Place Retirement Residence - 5th Fl,1 Canterbury Pl,Retirement Home,Respiratory,Influenza A (H3),,2022-11-29,2022-12-05,N
145,Fountain View Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,,2022-11-29,2022-12-19,N
146,Kipling Acres - 3S Alders,2233 Kipling Ave,LTCH,Enteric,Unable to identify,,2022-11-29,2022-12-09,N
147,Sinai Health System - Hennick Bridgepoint - 10N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2022-11-29,2022-12-10,N
148,Sinai Health System - Hennick Bridgepoint - 8S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2022-11-29,2022-12-14,N
149,Sunnybrook Health Sciences Centre - Bayview Campus - C6,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,COVID-19,,2022-11-29,2022-12-11,N
150,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,COVID-19,,2022-11-29,2022-12-09,N
151,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (H3),,2022-11-29,2022-12-07,N
152,Westside - 2nd Fl,1145 Albion Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-29,2022-12-08,N
153,"Delmanor Northtown - 2nd, 4th & 5th Fl",5351 Yonge St,Retirement Home,Respiratory,COVID-19,,2022-11-28,2022-12-12,N
154,Harold And Grace Baker Centre - A-Wing,1 Northwestern Ave,LTCH,Enteric,Unable to identify,,2022-11-28,2022-12-02,N
155,Harold and Grace Baker Centre,1 Northwestern Ave,Retirement Home,Respiratory,Unable to identify,,2022-11-28,2022-12-21,N
156,Harold and Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Unable to identify,,2022-11-28,2022-12-13,N
157,"Leaside Retirement Residence - Building 10, 3rd, 5th & 7th Fl",10-14 William Morgan Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),"Rhinovirus, Respiratory syncytial virus",2022-11-28,2022-12-19,N
158,Mon Sheong Foundation - 3 South,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-28,2022-12-10,N
159,Rockcliffe Care Community - Scarborough - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2022-11-28,2022-12-07,N
160,Shepherd Terrace Retirement Residence - 3rd Fl,3758 Sheppard Avenue E,Retirement Home,Respiratory,COVID-19,,2022-11-28,2023-01-03,N
161,Chartwell Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2022-11-27,2022-12-15,N
162,Jewish Home for the Aged - North York - 6RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,,2022-11-27,2022-12-08,N
163,Unity Health Toronto - Providence - A3,3276 St. Clair Avenue East,Hospital-Acute Care,Respiratory,COVID-19,,2022-11-27,2022-12-06,N
164,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,COVID-19,,2022-11-26,2022-12-22,N
165,Wesburn Manor - Etobicoke - 2nd Fl,400 The West Mall,LTCH,Respiratory,COVID-19,,2022-11-26,2022-12-05,N
166,Weston Gardens Retirement Residence - 4th Fl,303 Queens Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),,2022-11-26,2022-12-02,N
167,Advent Forestview Retirement Residence - 2nd Fl,537 Finch Avenue,Retirement Home,Respiratory,COVID-19,,2022-11-25,2022-12-05,N
168,Bill McMurray Residence - 2nd Fl,180 Sheridan Ave,Retirement Home,Respiratory,COVID-19,,2022-11-25,2022-12-12,N
169,Sinai Health System - Hennick Bridgepoint - 7N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2022-11-25,2022-12-13,N
170,"Villa Colombo - 4 Fusco West, 4 Fusco North, 4 Fusco South & 4 Fidani",40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,Parainfluenza,2022-11-25,2022-12-20,N
171,Baycrest Hospital - North York - H5W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,,2022-11-24,2022-12-06,N
172,Christie Gardens - Annex & Cedarvale Neighborhood,600 Melita Cres,Retirement Home,Respiratory,COVID-19,,2022-11-24,2022-12-13,N
173,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-24,2022-12-06,N
174,Sinai Health System - Hennick Bridgepoint - 7S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2022-11-24,2022-12-13,N
175,Terraces of Baycrest - 2nd Fl,55 Ameer Ave,Retirement Home,Respiratory,COVID-19,,2022-11-24,2022-12-15,N
176,"The Heritage Nursing Home - 2nd, 3rd & 4th Fl",1195 Queen St E,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-24,2022-12-20,N
177,Ukrainian Canadian Care Centre - 2nd Fl,60 Richview Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-24,2022-12-08,N
178,Amica Bayview Gardens - 3rd Fl,19 Reans Dr,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-23,2022-12-02,N
179,Baycrest Hospital - H7W,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,COVID-19,,2022-11-23,2022-12-22,N
180,True Davidson Acres - 2nd & 4th Fl,200 Dawes Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2022-11-23,2023-01-10,N
181,UHN - Toronto Western Hospital - 3B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2022-11-23,2022-12-09,N
182,William Osler Health System - 9E - Medical & Palliative Unit,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,COVID-19,,2022-11-23,2022-12-02,N
183,Kipling Acres - 3S Thistletown,2233 Kipling Ave,LTCH,Respiratory,Unable to identify,,2022-11-22,2022-12-03,N
184,Scarborough Health Network - Centenary - 9W,2867 Ellesmere Road,Hospital-Acute Care,Respiratory,COVID-19,,2022-11-22,2022-12-09,N
185,Belmont House - 2WW & 5WW,55 Belmont St,LTCH,Respiratory,COVID-19,,2022-11-21,2022-12-19,N
186,Deerwood Creek Care Community - Unit 3A (Memory Unit),70 Humberline Dr,LTCH,Respiratory,Respiratory syncytial virus,,2022-11-21,2022-12-09,N
